id;start_date;end_date;language
1;2019-05-20T22:47:11;2019-05-20T15:55:29;FRENCH
2;2019-05-21T00:17:17;2019-05-20T09:23:27;FRENCH
3;2019-05-20T19:49:21;2019-05-20T11:13:21;FRENCH
4;2019-05-20T09:01:13;2019-05-20T16:28:14;FRENCH
5;2019-05-20T17:59:52;2019-05-20T22:44:00;FRENCH
6;2019-05-21T00:16:52;2019-05-21T01:33:48;FRENCH
7;2019-05-20T09:39:12;2019-05-20T22:19:59;FRENCH
8;2019-05-20T07:10:31;2019-05-20T15:10:40;FRENCH
9;2019-05-20T16:58:37;2019-05-21T01:23:15;FRENCH
10;2019-05-20T20:16:46;2019-05-20T17:33:01;FRENCH
